pdf_page,chars,preview
1,678,"釋字第 5 4 許志雄大法官 提出 陳 碧玉 大法官 加入 林 俊益 大法官 加入 黃 昭元 大法官 加入 本號解釋 宣告， 最高行政法院 長法官聯席會議有關 ： 「 … 進口人填具進口報單時 ， 需分別 填載進口稅、貨物稅及營業稅相關事項，向海關遞交，始完 成進口稅、貨物稅及營"
2,691,"要，爰提出 協同意見書，略抒一二。 刑事法上之一事不再理原則，一事不二罰原則 及 「雙重 危險」 （ double jeopardy ）禁止原則，攸關人身自由之保障， 不論憲法有無明文規定，皆屬憲法原則，要無疑義。惟行政 法上是否另有具憲法位階之一行為不二罰原則，或者憲法上 是否"
3,1176,"反數個規定者，僅得依其中一個規定處罰，而不得依各個規 定分別處罰之。第一種情形， 無論從法安定性原則、信賴保 護原則或比例原則考量，均屬當然。一行為不二罰若指此種 情形， 如 釋 字 第 604 則將其定位為法治 國之憲法原則，並無不可。第二種情形， 於 數個規定之立法 目的、性"
4,780,"恐有待商榷。 而且，此種情形之法理基礎 在於比例原則，有 無於比例原則外另創一行為不二罰原則之必要，值得斟酌。 一行為不二罰原則繼受自德國，在我國出現水土不服之 現象 ，其來有自 。 按 德國違反秩序罰法第 項）同一行為觸犯規定得科處罰鍰之數法律或數次觸犯同一 法律時，則僅處罰一"
5,781,"有甚者， 一行為不二罰原則 之射程若不限縮，而泛稱為法治 國 之原則 ， 則行政罰法 第 24 規定恐難脫違憲之嫌 。 此一情 況顯示， 比較法之運用必須審慎， 以免橘踰淮而為枳。 本號解釋 既將有關之申報 行為認定為數行為，自不生一 行為不二罰 問題。惟顧及行政管制目的與處罰之"
