pdf_page,chars,preview
20,997,"2日 自必 年 1日 施行 ,修 正 系爭規 定三 ,並 配 修 正 公布 ,並 7月 合於 刑 法施 行 法增 訂 系爭 規 定 四 。系爭 規 定二 及 四均 為 明確 修 正 前 後 法 律 適 用 之 標 準 ,所 訂 定 關於 新 舊 法 律 適 用 之 準 則 。 【"
21,851,"之 問題 ,故 系爭規 定二及 四以前揭 基 準決定適用之 法律 ,尚無 涉法律 不溯及 既往原 則及信賴保護原 則 ,如附表二所 示聲請 人 就上開規定所為之聲請駁 回 。 【 b7】 拾 壹 、形成主文第八項之法律上 意見 【 68】 聲請 人五就 同一無期徒刑撤銷假釋執行 "
22,1156,"大法官 蔡炯燉 許 志雄 張瓊文 黃瑞 明． 詹森林 黃日召元 謝銘 洋 呂太 自 r 楊 惠欽 蔡 宗珍 朱 富美 陳忠五 尤伯祥 (蔡 大法 官彩 貞迴避 ) 本 判 決 由黃 大 法 官瑞 明主筆 。 大法 官就 主文所採 立場如 下表所 示 主 文 項 次 同 意 大 法"
23,640,"第 七 項 許 大 法 官 宗力 、蔡大 法 官炯燉 、 詹 大法 官森林 第 八 項 許 大 法 官 宗力 、 蔡大法 官炯 燉 、 黃 大法 官昭 元 【意見書】 協 同 意 見 書 :許 大法 官志雄提 出 。 陳大法 官忠五提 出 。 尤大法 官伯祥提 出 ,陳 大法 官"
24,960,"附表 一 :聲 請 人 、訴訟 代 理 人 、住 居所 、送達代 收人 第 3少 7號 陳 才加 律 師 第 冷 26號 第 38號 第 234號 第 282號 第 2少 7號 訴 訟 代 理 人 住 居 所 送 達 代 收 人 編 號 案 號 聲請人姓名 年度憲二字 謝 朝 和"
25,707,"第 少 00少 碎 6號 聲請 人二 十 111年度憲民字 余 明雄 梁 志偉律 師 第 50號 聲請人二十一 1l1年 度 憲 民字 辜明東 黃 昱 中律 師 陳 惠敏 第 少 03碎 b6號 郭 白告仁律 師 聲請 人二 十二 l1年 度 憲 民字 談 長 攀 林 琿 期律 "
26,1457,"附表 二 :確 定終局 裁 判 、審 查 客體 年度憲二字 謝 朝 和 最高法院 l05年 度 台抗字 系爭規定三 第 碎 70號 刑事裁定 系爭規定四 10少 年度 憲二字 陳怡靜 最 高法院 105年 度 台抗字 糸爭規定三 第 7號 第 97碎 號刑事裁定 系爭規定四 1碎"
27,1373,"聲請 人二 十一 111年 度 憲 民字 辜明東 最高法院 108年 度 台抗字 系爭規 定三 聲請 人二 十二 l1年 度 憲民字 談 長 攀 最 高法 院 l1年 度 台抗 字 系爭規 定三 第 1碎 少 6號 第 120號 刑 事裁 定 系爭規 定四 聲請人二十三 111年"
28,0,""
29,791,"怎法庭 113年 忠去︳︳字年 2號 判決協同七見古 許 志雄 大 法 官 提 出 一 、中華民國 8b年 l1月 26日 修正 公布 ,及 虯 年 2月 2日 修正 公布並 自 少 5年 7月 1日 施行 之刑 法 第 條之 1第 5項 (下併稱 系爭規 定 ),規 定無期徒刑"
30,855,"2.憲 法未保 障 受刑 人有請 求假 釋 之權 利 。即使 基於保 障 受刑 人之 立場 ,承 認 受別 人 因刑 法 、監獄行 刑 法及行 刑 累進 ,其亦僅屬法律賦 處遇條例相 關規定而享有假釋 (請 求 )權 予之權利 ,要非憲法上之權利 。 3.假 釋係 附條 件使 受"
31,788,"三 、多數 意見雖未言 明 ,但 在釋字第 7奶 號解釋之脈絡 下 ,顯然承認立法者對假釋制度具有廣 泛之政 策形成空間 , 無論假釋 或撤銷假釋之要件與效果 ,原 則上均屬立法裁量範 圍 。關於撤銷假釋之規定 ,本 席認為理應從 寬審 查 ,除 非逸 脫裁量範 圍 ,或 其規制"
32,789,",本 : 從 下 引論 述可知 號 判 決認 定我 國假 釋採 特別 預 防 「假 釋 制 度 之 目的在 使 受徒 刑 執 行 而有 悛 悔 實 據 並 符 合 法 定要件 者 ,得 停 止徒 刑之執行 ,以 促使 受刑 人積極 復 歸社 會 (刑 法第 77條 、監獄行刑 法"
33,743,"忠法庭 113年 忘判字年 乎 l︳ 決協同患見古 2號 陳忠五大法 官提 出 士 、問足提 出 本件審 查標 的 中 ,最為 關鍵者 ,係刑 法 第 79條 之 1第 5 項規 定 :「 經撤銷假 釋 執行 殘餘刑期者 ,無 期徒刑於執行 滿 25 年 ,有期徒刑於 全部執行 "
