pdf_page,chars,preview
1,681,"憲法庭 協同 意見書 陳忠五 大法官提出 壹 、 問題提出 本件審查標的 中 ， 最為關鍵者，係刑法第 79 項規定 ： 「 經撤銷假釋執行殘餘刑期者 ， 無期徒刑於執行滿 2 5 年，有期徒刑於全部執行完畢後，再接續執行他刑，第一項 有關合併計算執行期間之規定不適用之 」。 該"
2,697,"或其接受 矯正教化 之 成效如何， 縱 使 執行殘刑已經過相當期 間，受刑人亦有悛悔實據 、 適於 重入 社會 生活 ，仍 必須先 一 律執行固定殘餘刑期屆滿後， 嗣 於 接續執行他刑 期間，符合 他刑假釋要件時，始有 再 獲假釋之機會。 上開規定，是否 符合憲法意旨 ？成為本件"
3,565,"問題，不單僅是 「 殘餘刑期長短 」 問題，同時涉及 「 一併或 接續執行他刑 」 問題 ， 以及 「 是否合併計算 最低應執行期間 」 問題， 屬整體配套立法， 應 前後 連結觀察， 不宜割裂處理， 個別 考量 。 鑑於 事涉未來修法方向及個案救濟方式，影響刑事政策 發展及假釋"
4,719,"客觀要件 ，指受刑人 受徒刑之執行 經過 一定期間 。此 即 最低應執行 之 期間 。 例如 無期徒刑執行逾 5 行逾 、 累犯執行逾 3 。 此一最低應執行期間 ， 具有 二 項功能：其一， 一定期間內拘束受刑人身自由 ，令 其承擔罪責 ，實現 公正應報 目的 ， 同時發揮 威"
5,671,"並未額外 限制 受刑人 之 人身自由 。故假釋制度 並未直接涉及 人身自由之侵害，其 憲法審查 ，不 應 採 取 嚴格審查標準 ，而 應 適度尊重立法者 就假釋制度之 整體規範計畫 ，容許較 為 寬 廣之立法形成空間 。 雖然如此， 假釋制度亦非僅是國家對受刑人之恩惠或恩 典 。"
6,660,"之 手段，是否為 適當、 必要 之手段 ， 則 有疑問。 無期徒刑假釋撤銷後，原無「殘餘刑期」問題。系爭規 定將無期徒刑之殘刑「有期徒刑化」 ，擬制其殘餘刑期為 2 5 年（或 20 。此一刑期擬制及期間長短， 立法政策上是否 妥適，或有討論餘地 。 但此為立法形成空間，應予尊重"
7,637,"入社會生活，即應 許可 其再度假釋，無強令其繼續在監接受 徒 刑執行， 限制 其人身自由之必要。 因此，系爭規定之所以違憲，不在於假釋撤銷後殘刑之 「刑期長短」 （ 無期徒刑 之 5 或 ，有期徒刑 之 剩餘 刑期 ） ， 而在於 假釋撤銷後殘刑之 「執行方式」 ， 欠缺 「彈性"
8,313,"完畢 ，是否合理？其三， 對於 反社會性或危險程度不嚴重之 無期徒刑受刑人， 改定後之殘餘刑期，相較於假釋撤銷後有 期徒刑受刑人之剩餘刑期 ，可能 更短，是否合理？ 依本席意見， 問題，只生「改定再假釋要件」問題！換言之，無期徒刑假 釋撤銷後，仍有假釋規定之適用，只要具備假釋要件"
