pdf_page,chars,preview
1,588,"解釋憲法言詞辯論爭點聲明書 案號： 會台字第12674號 聲請人祁家威 代理人許秀雯律師 莊喬汝律師 潘天慶律師 茲依大院秘書長民國（ 下同 ） 106年 2 月 1 0 日秘台大二字第1060003939號 函 ， 提出本次言詞辯論爭點之主張， 其理由除援引聲請人104年 8 "
2,910,"斯 時 「 婚姻為男與女所組成」乃是既存之社會現象， 而同性關係至多僅被 視為一種性行為的樣態， 在此社會背景下， 立法者未考慮明文禁止同性別 之二人（ 同性戀性傾向者 ） 結婚， 實難認係立法者有意之選擇， 而應認係 立法者在參照社會主流規範而為婚姻之法律要件擬定時， 未加思考"
3,283,"限制同性締結婚姻， i 丛 憲法第7 條保障平等權之意旨。 此致 司法院公鑒 爭點二： 第一題答案如為否定， 是否違反憲法第2 2 條所保障婚姻自由之規 定？ 限制同性締結婚姻， 逢尾憲法第22條所保障之婚姻自由。 爭點三： 第一題答案如為否定，是否違反憲法第7 條保障平等權之意"
4,51,"聲請人： 祁家威 代理人： 許秀雯律師 莊喬汝律師 潘天慶律師 中華民國 丨 4 年 J 月 矛 曰"
