pdf_page,chars,preview
1,628,"劉宏恩 目次 壹 、 本案需要大法官解釋而非留待立法者決定之問題 民 法 親 屬 編 規 定 「 使 同 性 別 二 人 間 不 能 成 立 法 律 上 婚 姻 關 係 」違憲疑義解釋案 鑑 定 意 見 【 補 充 說 明 書 】 國立政治大學法學院 民國106年4月5 曰 壹 "
2,1852,"M 丑#3 H _ 链 麵 H S m #羅 S « M ^ s l s i n S 册 孟 靈 , _ ! 爾 「 1 ^ ! | izl _ A 斜藤 」瞄 眾 「 鐘 一 ||沖 纈兗 。 # 峰 鄴 链 骑 辩 nM 段 爾 i M hf 链 Hfi H 画 ,: M_ "
3,1374,"貳 、 同性婚姻合法化與反對者宗教自由、 契約自由間之關係 號參照） ， 則前述憲法第7 條及憲法增修條文第10條 第 6 項所稱之「 性別」實應 包 含 「 性傾向」在 內 。 而這也是比較法上， 包括德國聯邦憲法院與美國聯邦最 高法院針對憲法平等原則所做的解釋。 3 月 2 "
4,1557,"生新的衝 撃 或問題。 契約自由的問題亦然。 承 上 ， 教會等宗教場所向來皆自由的基於其信仰教義 而拒絕與某些民眾締結場地租借契約， 這也是 爲 什麼我們從未聽聞在教會場地裡 會舉行佛教法事、 或是在教會場地內看到孝女白琴。 身 爲 基督徒的遊覽車司機， 若基於聖經教訓拒絕載送"
5,530,"但是無論是依據大法官過往解釋， 或是依照學界通說， 當不同人民同時受到憲法 保護的兩種基本權利發生衝突時， 並不可恣意作成其中之一基本權利全有或是全 無的決定， 而是應該進行法益衡量予以調和， 基於憲法整體性儘可能實現對於各 個不同基本權利的最大保障。 倘若於個案情形中， 經過法"
