pdf_page,chars,preview
1,1001,"司法院釋字 第 7 5 1 摘 要 聲請案號 ： 會台字第 10895 號 （聲請人 臺灣苗栗地方法院快股法官 ） 、 會台字第 11436 號（聲請人 臺灣苗栗地方法院行政訴訟庭 賢股法官 ） 、 會台字第 11626 號（聲請人 臺灣桃園地方法 院行政訴訟庭柔股法官 ） 、 "
2,942,"序後 ， 分別於 後開 期日 向本院聲請解釋憲法 （ 編號 1 ： 101 6 ； 編號 ： 102 及 月 ； 編號 ： 102 103 及 ； 編號 ： 102 103 104 及 月 ； 編號 ： 105 月 ； 編號 ： 105 ） 。 2. 附表編號 9 經檢察官為緩起"
3,860,"以罰鍰之爭議，有其共通性，爰併案審理 。 解釋文 1. 行政罰法第 分確定……者，得依違反行政法上義務規定裁處之。」及財 政部中華民國 96 09600090440 就緩起訴處分確定後，仍得依違反行政法上義務規定裁處之 釋示，其中關於經檢察官命被告履行刑事訴訟法第 253 2 之"
4,920,"從而國家對於人民一行為先後課以應履行之負擔及行政法之 罰鍰 ， 其對人民基本權造成不利益之整體效果 ， 亦不應過度 ， 以符比例原則之要求。 3. 行政罰法第 定……者，得依違反行政法上義務規定裁處之。」其中關於 經檢察官命被告履行刑事訴訟法第 253 及第 ［即系爭規定一］ ，"
5,158,"政法上義務規定裁處之。 張瓊文 大法官發表 部分 協 同 意見書 黃璽君 大法官、 蔡明誠 大法官分別 發表 協同意見書 黃虹霞 大法 官發表部分不同 暨 部分協同意見書 陳碧玉 大法官發表 部分 不 同意見書 羅昌發 大法官 、 湯德宗 大法官 、 黃瑞明大法官 、 詹森林大法"
