pdf_page,chars,preview
20,733,"而未滿六十歲」， 並進而規定扶養「 滿二十歲而未滿六十歲」 之親屬或家屬的納稅義務人， 不得減除扶養該親屬之免稅 額 。 該分類係立基於「 滿二十歲而未滿六十歲」者原則上應 有謀生能力之假定。 然 「 滿二十歲而未滿六十歲」者 ， 如確 因財政部八十九年九月七日台財稅第八九〇四五"
21,671,"有之生存尊嚴。 是 故 ， 為財政目的而附以限制扶養親屬免稅 額之減除的要件時， 該限制要件尚不得與前開規定保護身心 障礙者之意旨相違。 四 、 扶養之需要源自無謀生能力， 與年齡無必然之關聯。 依 年齡之分類， 限制免稅額之減除， 將降低納稅義務人之扶養 能力及受扶養親屬之受扶"
22,743,"交迫， 其生存顯然已陷入明顯之急迫危險中， 此等狀況尤為 堪憐。而任何無謀生能力者面對之生存情境， 亦如是。 配合 身心障礙者權益保障法第七十二條第一項規定， 所得稅法第 十七條第一項第二款第三目， 對於身心障礙者之扶養者應繳 納之稅捐， 固有每人每年扣除十萬元之身心障礙特別扣除"
23,689,"的限制要件， 固可能因此減少得減除免稅額之案件， 得到降 低稽徵成本及減少稅式支出的利益。 然權衡該利益與無謀生 能力者之生存可能陷於危險的不利益， 尚不適合僅為達成該 等國家利益即使無謀生能力者陷於生存危險中。 如果真可能 因容許納稅義務人減除其扶養之無謀生能力者的免稅額， 而"
24,725,"質關聯， 其差別待遇乃屬恣意， 違反憲法第七條平等原則之結論， 本席敬表贊同。 惟就系爭規定使納稅義務人就其親屬或家屬依民 法上開規定而負有扶養義務， 從其所得予以免稅， 其目的實寓有 保障人民最低生存條件之憲法意旨（ 註 二 ） ， 以及本件解釋所涉「 年 齡歧視」之憲法意義與"
25,738,"性質之生存權， 其保障範圍亦應結合其他憲法權利， 以 形塑人民不僅能擁有生命而存在， 更應以符合「 人性尊 嚴」的要求而以「 人」而存在， 因此，包括憲法第八條 人身自由、 第十五條工作權、 財產權、 第十七條參政權、 第十八條應考試服公職、第二十一條受國民教育之權利 等， 均應"
26,658,"公約締約各國承認人有權享有能達到的最高的體質 和心理健康的標準。」則進一步具體例示生存最低限 度保障之生理與心理要求。 2•曰本憲法第二十五條之理論與實務發展 國際人權規範對生存權保障之意旨， 也出現於各 國憲法規範之中 ( 註 九 ） ’ 如義大利蕙法第三十八條第一 項 （ 註"
27,647,"度保障之要求（ 註 十 五 ） 。 因此，日本最高裁判所於食 糧管理法違反事件（ 註 十 六 ） 中 ， 對於未經許可自行 購買食米而遭刑事處罰， 多數意見從國家經濟管制 與人民社會權層面保障， 分析憲法第二十五條第一 項之規範， 係 「 宣示所有國民能夠維持健康及文化 的最低限"
28,635,"定之權利性質， 也開始出現不同的認知。 例如於一 九四六年制定之生活保護法， 對於所謂生活保護請 求權尚未予以正面承認， 無法透過訴訟請求賠償， 而後於一九五0 年修正後， 便承認此項請求權， 繼 而於最高裁判所朝日訴訟 （ 註十八） 中 ， 基於厚生省 大臣所定生活保護基準外，"
29,633,"度保障之範圍與落實， 則屬目前適用上的難題， 特 別是法院介入審查的範圍。 由於生存權保障所謂生 活最低限度， 在概念上隨著社會發展與一般人民通 念不同， 其保障範圍具有相當不確定性； 而立法者 通常均授權由行政機關進一步認定， 亦具有高度政 策性考量與專業判斷， 法院介入審查的"
