pdf_page,chars,preview
1,585,"釋字第七二七號解釋不同意見書 大法官黃茂榮 提出 本號解釋多數意見認為：「中華民國八十五年二月五日 制定公布之國軍老舊眷村改建條例（下稱眷改條例）第二十 二條規定：『規劃改建之眷村，其原眷戶有四分之三以上同 意改建者，對不同意改建之眷戶，主管機關得逕行註銷其眷 舍居住憑證及原眷戶"
2,1151,"期間，得延續至該任職關係終止後，並不必然隨其任職關係 。 然雖無法律之明文依據，最高法院向來認為，國家機關 或公營事業機構 將宿舍配給其員工之法律關係是民法上之終止而終止。相對於任職關係，其相隨之配給眷舍的關係 在任職關係終止後，有後契約效力。這與退休給付之於任職 關係，有後契約"
3,929,"使用借貸關係 ，而不認為是其給員工之服勤待遇的一部分 。不過，縱使認為是使用借貸關係，其存續效力或保障不應 當是：與一般使用借貸相同，在借貸未定期限，亦不能依借 貸之目的而定其期限的情形，貸與人得隨時請求返還借用 物」（民法第四百七十條）；或縱使定有期限，貸與人因不 可預知之情事"
4,683,"將眷舍配住關係定性為民法上之使用借貸關係，從而剝 奪其應受法律保護之權利地位，弱化為只是一種「福利措 施」。並以該論點為基礎，認為其終止原不以配住戶之同意 為必要，實際上，亦即認為，其剝奪，不需要理由，國防部 可以任意為之。既得任意為之，國防部在為剝奪時，也便既 不需要理由，也無"
5,624,"容顯然是以使用借貸為基礎，其論據終究與同條例第五條之 規定意旨相衝突。實務將眷舍配住關係定性為使用借貸關 係，以及系爭規定之規範內容，與立法機關在第五條第一項 明文表示之見解，既有衝突，自當予以檢討，以除去規範上 之矛盾。不適合在未經體系檢討的情形下，便一仍舊慣，否 認眷舍配住權"
6,657,"法，然適用民主原則的結果，其效力，極其量應僅止於要求 少數服從多數，少數與多數享有的權益（在項目上）應該相 同，數量的計算標準，亦當一致，不應該使少數不同意者原 享有之權益產生失權的效果。這才符合民主原則之運轉的規 則。系爭規定「原眷戶有三分之二以上同意」之構成要件， 只能提供改"
7,618,"之手段，是否為達成眷村改建目的之必要且最佳經濟手段， 特別是否為對於眷戶權益限制之最小侵害手段，因未經具體 論證，而有理由不備的問題。 按目的並不能絕對合理化手段。為達到國軍老舊眷村快 速改建之目的，在手段之選擇上，除系爭規定所定「對不同 意改建之眷戶，主管機關得逕行註銷其眷舍居"
8,608,"益的緩和手段，當亦能達到相同之目的。因此為達成加速老 舊眷村改建之目的，並不能正當化以眷戶同意改建與否，作 在「同意改建」及「不同意改建」之單一構成要件，除 其法律效力之連結，要避免「全有」或「全無」之設計外。 為註銷其居住憑證及原眷戶權益之懲罰性差別待遇的正當 對於「不同意改建"
9,208,"性與正當性。 好的法律制度，要盡可能與人為善，體諒規範對象面對 僵硬法制可能遭遇的困難，不要輕率將其逼入絕境。推敲可 達成目的之諸多可能手段中，所規定者，是否已是對於人民 引起損害最小的手段，是比例原則要求於行使公權力者，應 遵守之利益的權衡過程，是法制人性化之根本所在。在司法 "
