pdf_page,chars,preview
1,530,"釋字第七二七號解釋協同意見書 大法官林錫堯 提出 本案系爭規定【即八十五年二月五日制定公布之國軍老 舊眷村改建條例(下稱眷改條例)第二十二條規定： 「規劃改 建之眷村，其原眷戶有四分之三以上同意改建者，對不同意 改建之眷戶，主管機關得逕行註銷其眷舍居住憑證及原眷戶 權益，收回該房"
2,937,"貸關係 。依其法律關係，當國家於自己需用借用物時，本即 得終止使用借貸關係並收回借用物，眷舍借用人並無永久使 用眷舍或眷村土地之權利。系爭規定所稱之眷舍居住憑證， 係為證明上開私法上使用借貸關係，僅單純為私權證明文 件，註銷該憑證係終止使用借貸關係之當然結果，自難僅以 註銷該憑證"
3,1281,"房租補助費等權益。該等權益乃原眷戶依公法規，得請求 。 本文參考德國聯邦憲法院及學者見解 ，認為：公法上 請求權納入憲法上財產權之保障範圍，至少必須是具有財產 。換言之，將憲法上財產權之保 障範圍由法律形塑之私法上財產價值之權利（或法律地位） 國家為特定給付之權利，依行政法上一般"
4,632,"求權時，有時純係基於照顧弱勢等之政策及國家財政等之考 量，故僅由國家給付，而不須人民有所付出，此與私法上權 利畢竟有所不同，倘因而逕將之納入憲法上財產權之保障範 圍，進而使該法律受比例原則之拘束，對立法形成自由構成 一定程度之限制，則立法者於制定或修正法律之際，勢將有 所顧慮或猶"
5,657,"開條例與本解釋意旨未盡相符之部分，應通盤檢討改進。」 等語。換言之，原眷戶取得此等公法上權利，純係出於國家 ；系爭規定 又不涉及其財產權或居住自由，可資憑藉以提昇平等原則之 照顧其生活所為，並非「基於非不重要的自身給付而取得」 ， 審查密度與標準，復基於眷改條例本具有國家照顧軍人"
6,153,"眷或遺眷生活之優惠特性，以及系爭規定旨在加速眷村改建 之立法目的（詳見解釋理由書） ，實亦無由對系爭規定是否 違憲採取嚴格之審查。故解釋理由採取寬鬆審查，認「系爭 規定所為差別待遇之目的要屬正當，且所採差別待遇手段與 前開立法目的之達成間具有合理關聯，與憲法第七條平等原 則尚無牴"
