pdf_page,chars,preview
1,375,"正 解釋憲法聲請書 受文者： 司法院大法官會議 聲請人:周方慰 主 旨 ： 為聲請人周方慰認為刑法第239條通姦罪之規定已 侵害人民於憲法上所保障之比例原則、 過度禁止原 則及性自主權， 應不予適用。 惟聲請人仍遭臺灣臺 北地方法院民國（ 下同） 107年3月21日106年度易 "
2,539,"貳、 疑義或爭議之性質與經過及涉及之憲法條文： 一、 憲法上所保障之權利遭受不法侵害之事實， 及涉及之憲 法條文： (一） 查聲請人原係 之夫 ( 按 ： 兩造已於108年9月24 曰調解離婚） ， 因夫妻長期相處不睦， 且已分居多年。 聲請人在 居處 房間 内 ， 與李明怡(按"
3,439,"二 、 所經過之訴訟程序： 聲請人經臺灣臺北地方法院107年3 月21日106年度 易字第889號刑事判決判處有期徒刑肆月， 及臺灣高等 法院108年4 月24日107年度上易字第1071號刑事判 決駁回上訴及緩刑二年確定在案。 謹依司法院大法官審 理案件法第5條第1項第2款及第"
4,505,"二、 聲請人對於前項疑義所持之見解： (一） 包括《 刑法》通姦罪之立法目的為何？ 是為保障何種 基本權利、 法益？ 將會限制或侵害人民的何種基本權 利？ 審查基準為何？ 處罰婚外性行為的手段， 是否有 助於目的達成？手段與目的間的關聯性為何？以及 夫妻間撤告， 但外遇第三人依舊"
5,559,"刑法通姦罪， 只依民法通姦罪即可。 易言之， 若是通姦 除罪化後， 犯下通姦罪之人不需要負刑法責任（ 例如服 刑） ， 但是仍然需要負民事責任（ 例如精神撫慰金等）。 然而本國法院對於通姦罪之處罰， 往以易科罰金甚至 缓 刑結案， 刑事懲處效果不彰。 (三） 亞洲非回教國家， 除"
6,616,"(十） 大法官748號解釋， 一夫一妻之婚姻規定， 違反平等 權違憲， 則通姦罪自亦違反平等權， 而不待言。 ( H ■ 一 ） 根據法務部94年至103年之「 妨害婚姻與家庭罪案 件性別統計分析」中顯示， 每年因通姦罪起訴之女性人 數皆多於男性。 交通大學科技法律研究所林志潔教"
7,517,"義通姦罪將會是一大難題。 因此可能會往兩個方向發 展 ， 一是擴大通姦解釋， 同性間婚外性行為亦在通姦罪 範圍。 二則是直接廢除通姦罪。 但是如果要擴大通姦解 釋 ， 也要回歸立法精神及能否解決現有性別不平等現況 來思考， 擴大未必是好事， 甚至可能加劇親密關係中的 權力不平等。"
8,137,"四、 關係文件之名稱及件數： 聲證1:臺灣臺北地方法院107年3月21曰106年度易字第 889號刑事判決及臺灣高等法院108年4月24日107 年度上易字第1071號刑事確定判決等影本各乙份。 中 華 民 國 109 年 5 月 21 日 聲請人： 周方慰 g 氬 8"
