pdf_page,chars,preview
1,575,"立法委員鄭寶清等七十九人聲請書 立法委員鄭寶清、蔡明憲、葉宜津、張清芳、邱創良、 王天競、賴士葆等七十九人，連署聲請大法官解釋現任民意 代表之任期，得否於任期中予以延長，本屆國民大會通過之 憲法增修條文第一條第三項後段及第四條第三項前段，係否 違憲。 對於本屆國民大會，超越國民大"
2,525,"定期改選之必要性與重要性，與民主憲政秩序不可 分。 二、本屆國民大會新修訂通過之憲法增修條文第一條第 三項後段及第四條第三項前段，使本屆 第三屆 國 民大會代表與本屆 第四屆 立法委員，自現有任期 予以延任之規定 ， 違反國民主權原理之民主原則 「定 期改選」制度，背離本屆立法委"
3,562,"六十五條參照 。 惟立法委員履行與選民之契約 ， 實 現其選舉之政見與政治理念，其職權之行使，因立 法院合議制之精神與法定立法程序，需一定之時 日。立法委員任期之確定，與其政治理念目標之實 現、職權之行使，有其密切相依之關聯。 本屆國民大會於八十八年九月四日三讀通過 新修訂之憲法"
4,555,"會代表憲政賦予之職權，國民大會代表原憲法規範 鎖定改選日期將屆 ， 民怨高漲 ， 憲政危機急如燃眉 ， 請速予解釋為盼。 參、聲請解釋之理由及對本案所持之見解 一、本屆國民大會修訂通過之憲法增修條文第一條第三 項及第四條第三項，侵犯憲法本文第二條國民主權 原理、憲法本文第一條民主"
5,542,"㈣ 三項、 第四屆立法委員任期一併延至九十一年六月三十 日止，妨礙人民透過定期選舉行使國家主權主體 之權力，嚴重毀棄國民主權原理之民主原則，違 反憲法第十七條賦予人民之選舉權與被選舉權。 ㈤ 文第一 條文第一條第六項、憲法本文第六十五條及司法 院釋字第二六一號解釋文及其解釋理由書"
6,507,"起開始實施，否則即有違民主原則。人民在選舉 時「自始」即對民意代表作 「有限性的委託」 ，經 由修憲直接將國會議員予以延任，無異剝奪人民 對於政權之行使陷於停頓，與樹立分權制度之本 旨相違。 ㈢ 三項、 第六項、憲法本文第六十五條及司法院釋字第二 六一號解釋所揭示國民大會代表與立"
7,352,"立法委員：鄭寶清 郝龍斌 李文忠 李俊毅 卓榮泰 廖學廣 羅明才 李慶華 周錫瑋 張世良 陳明文 鄭龍水 盧逸峰 朱鳳芝 蔡 謝章捷 劉文雄 余政道 朱立倫 楊瓊櫻 中華民國八十八年十月二十八日 ( 本聲請書附件略 7 蔡明憲 賴士葆 邱創良 何嘉榮 鍾金江 林重謨 王雪峰 王天"
