pdf_page,chars,preview
20,862,"故民意代表機關其職權之行使，「曾否踐行其議事應遵循之程序， 除明顯牴觸憲法者外，乃其內部事項，屬於議會依自律原則應自行 認定之範圍」。本院釋字第二五四號及第三八一號解釋復闡明國民 大會關於「未依法宣誓之代表得否出席會議」與「修改憲法之一讀 會程序之開議出席人數」等問題，應依議會自"
21,743,"並經其承認。此種承認，必須於 特別之公民投票，或於國會 所定選舉時所為之投票，獲得 其過半數之贊成。」 註四：德國聯邦基本法第七十九條第二項：「（修正本基本法之） 此項法律須經聯邦議會議員三分 之二及聯邦參議院投票權三 分之二之同意。」 註五：荷蘭王國憲法第一百三十七條：「（第一"
22,869,"大會依八十三年八月一日修正公 布憲法增修條文第一條第九 項本於尊重議會自治之意旨特別授權而 訂定，具有補充憲法修 憲程序規定之效力，與一般議事程序之規範有間。此項法規之 位階與憲法第一百七十四條同為規範議 事程序之法則，其內容 不得牴觸憲法，惟優先於法律而適用。 二、本解釋文謂："
23,868,"瞭。本解釋雖謂國民大會議事規 則第三十八條第二項關於無記 名投票之規定，於通過憲法修改案之讀會時，適用應受限制。 惟憲法第一百七十四條規定修改憲法之 程序，並無應採記名投 票方式之限制，然則何以修改憲法，非採用記名投票不可？如 果提案、討論及形成決議之過程均採公開方式，惟於表決方"
24,851,"力教授並進一步說明「憲法責任政治所要求的國會透明、公開 ，所指涉範圍為何，學說意見不一。一說認為國會透明、公開 僅止於議事公開，也就是討論與辯論公開，課予議會有讓任何 人，特別是媒體進入議事場所觀察、監督議員發言、討論之義 務，但該義務並不包括投票內容之公開。」「另一說則認為民 "
25,809,"六、若云國民大會議事規則第三十八條第二項關於無記名投票之規 定，於通過憲法修改案之讀會時，適用應受限制，則係對該條 文為限縮解釋。果爾，國民大會於八十八年九月四日以無記名 投票方式表決通過憲法修改案，即不 發生違背議事規則之問題 。本解釋既論該程序係違背公開透明原則，復細述本件憲"
26,851,"中有關程序正當性要求的論證理由固表贊同，但就修憲程序牴觸公 開透明原則時之法效果論斷，則持有不同意見；另對本次修憲之實 質內容與憲法基本原理發生衝突的部分，應論以如何之審查效果安 排，本席則認為多數意見論斷亦有未盡，恐有檢討與商榷的餘地。 鑑於本件解釋，對維護民主政治的活潑性以及"
27,842,"註二）尤其，本件憲法爭議發生之脈絡，攸關我國民主憲政秩 序之改革方向，大法官更應謹慎自持，盱衡民主原理與政治發 展，預留國民政治共識形成與 修憲機關合理解決之空間。 在「立憲主義」與「民主政治」兩種理念的關係之下，可 知「法的領域內，沒有一個自 由是不受拘束的」；修憲者從事 憲法"
28,815,"蓋憲法賦予國民大會修憲權，國 民大會之代表應依據民主 政治的原則行使其權限，此亦適用於議會的內部關係。惟憲法 對國民大會之代表，並無明確規定其修憲權之行使，僅限於公 開行使，方具效力。在責任政治原則的要求之下，修憲公開、 透明原則，僅強調民主政治理性溝通時，應儘量予以尊重，但 是"
29,790,"未明確肯定修憲的有界限理論，但亦指出憲法條文之中，有許 多具有本質重要性而為整個憲 法體制賴以存立的基本原則，諸 如第一條民主共和國原則、第 二條國民主權原則、第二章保障 人民權利之規定，以及有關國 家機關間權力分立與制衡之規定 ，凡憲法設置之機關均有遵守之義 務，若修憲之條文有"
30,910,"之任務與權限，此一原則更應 依據民主政治原理去實現，做 為司法解釋機關的大法官，僅 能於國民大會代表或立法委員 任期屆滿而有不改選的情事發 生，而其不改選是否有正當化 之事由，而有解釋聲請時，方 能對之為合憲與否的解釋。 爰附理由提出協同意見書，說 明不同之法律意見如上。 註一："
31,850,"有明顯重大之瑕疵，尚欠允當 。茲述明意見如下： 一、依據引發釋字第三四二號解釋之聲請書、立法院議事錄及其他 相關文件之記載，立法院於八 十二年十二月十三日開始審議「 國家安全會議組織法草案」（以 下簡稱第一案）、「國家安全 局組織法草案」（簡稱第二案）及「行政院人事行政局組織條 "
32,848,"紀錄第四三頁至第四頁）。 在相關院會紀錄尚未獲得確認之情形下，「國安三法」仍 依規定程序予以公布施行。惟 有多位立法委員認為國安三法「 未經憲法所規定之立法程序，不能發生任何法律上之效力」， 1 P 乃聲請本院解 釋。對於此項爭議，本院以釋字第三四二號解釋確立國會自律 （見司法院"
33,609,"當然違法致自始不生效力者，須 其瑕疵已達重大而明顯之程度 （學理上稱為 Gravitäts-bzw. Evidenztheorie ）始屬相當，……判 斷憲法上行為之瑕疵是否已達違憲程度 ，在欠缺憲法明文規定 可為依據之情形時，亦有上述 瑕疵標準之適用（參照本院釋字 第三四二號解"
34,869,"表決（見第十八次大會速記錄第二六頁 至第三二頁）。此時有 出席代表提出權宜問題，質疑 乙案所提之連署書是否確有三分 之一代表連署：「剛才本席發言聲明願意放棄這次的連署，這 是有原因的，因為本案雖經三分之一以上代表連署，但是因為 所有連署的代表並不是依照國民 黨或是其他黨代表的意願"
35,856,"則認係重大而明顯之瑕疵，其 認事用法似欠一貫。 抑有進者，國民大會議決系爭修憲條文時，是否確有違反 第三十八條第二項之規定？相關機關尚有爭議。（見國民大會 八十九年二月二十三日（八九）國會金議字第 ０ 三 ０ 一號函） 且當日提議採行記名投票者是否 已達出席代表三分之一？與 會代"
36,879,"法及法律皆未規定。修改憲法所進行之一讀會程序，並非通過 憲法修改案，其開議出席人數 究採國民大會組織法第八條代表 總額三分之一，或採憲法第一 百七十四條第一款所定三分之二 之出席人數，抑或參照一般會議規範所定出席人數為之，係屬 議會自律之事項，均與憲法 無違。」對於憲法第一百七十"
37,867,"本解釋認為此次修憲違反行憲以來修憲程序之先例採行 無記名投票，使國民因而不能 知悉國民大會代表如何行使修憲 職權，因此無從貫徹責任政治之憲法意旨；衡諸實務情形，理 由亦欠堅強。依國民大會相關議事錄及速記錄之記載，行憲以 來歷次會議進行修憲案之表決時 （註四），均僅記載在場人數 及"
38,819,"頁、第五二九頁至第五三 ０ 頁：第八十三卷第二期，委員會 紀錄第八五頁至第八六頁、第九 二頁、第一七頁、第一四 三頁、第五四三頁 ; 第八十三卷第四期，委員會紀錄第四八 ０ 頁、第五 ０ 七頁。 註二：認為修憲採無記名表決並不當然違憲之學者包括：林子儀先 生（立法委員郝龍斌、鄭寶"
39,774,"四月二十二日廢止；後者包括即 一九一年五月一日制定公 布第一條至第十條，一九二年 五月二十八日制定公布第十 條至第十八條，一九四年修正 公布第一條至第十條，一九七年七月二十一日修正公布第 一條至第十一條，一九 年九月四日修訂公布第一條、 第四條、第九條及第十條。 註五：見國民大會"
40,857,"十條之修正，其程序違背公開 透明原則，議事規則第三十八條 第二項但書規定，其瑕疵已達 明顯重大之程度，違反修憲條文 成立或效力之基本規範，應自解釋公布之日起失其效力部分： 多數大法官對於本件修憲程序認違反公 開透明原則，無非以其 修憲係以「無記名投票」方式 為之，為其基礎。本席以"
