pdf_page,chars,preview
1,638,"立法委員鄭寶清等八十人聲請書 立法委員鄭寶清、蔡明憲、葉宜津、張清芳、邱創良、 王天競、賴士葆等八十人，對現行憲法國民大會修憲權之權 限及其界限，適用憲法增修條文第一條第三項第四款、憲法 本文第二十七條第一項第三款及第一百七十四條第一款，對 本屆國民大會有無權力修憲自我延長任期，"
2,523,"一解釋之聲請，為保障民主憲政秩序、確立人民基本權利保 障，對國民大會之修憲權力予以合憲合理之限制，有其必要 性與重要性。特此提出聲請釋憲案。為維繫立憲主義之民主 國與法治國存續，請速予解釋為盼。 壹、聲請解釋憲法之 一、本屆國民大會於八十八年九月四日修訂通過之憲法 增修條文第一條"
3,498,"貳、疑義性質及經過 立法委員為行使職權，適用憲法發生疑義之性質與 經過，說明如后： 一、本屆國民大會於八十八年九月四日修訂通過之憲法 增修條文第一條第三項及第四條第三項，自我延長 任期。 二、立法委員依憲法第六十三條有審議預算之權，國民 大會機關之預算、國民大會代表改選之預算亦臚"
4,567,"第三項前段，使本屆 第三屆 國民大會代表，自現 有任期予以自我延任，應為無效。 國民大會代表無權自任期中自我延長任期，此 為自明之理，非屬是否違憲之論。因而，本屆 第三 屆 國民大會代表，自現有任期予以自我延任，為自 始無效、當然無效。 因而就此端爭議事項，聲請大法官為以下憲法 "
5,579,"得作為修憲侵害的客體或標的 ， 構成修憲界限所在 。 司法院釋字第二六一號解釋「第一屆中央民意 代表當選就任後，國家遭遇重大變故，因未能改選 而繼續行使職權，乃為維繫憲政體制所必要。惟民 意代表之定期改選，為 途徑， 為適應當前情勢，第一屆未定期改選之 中央民意代表 應 終止行使"
6,507,"權原理與人民基本權利，不得作為修憲侵害的客體 或標的，構成修憲界限所在」 。 四 、 針對國民大會一再以修憲權對自身擴權 ， 民怨已久 。 此一解釋之聲請，為保障民主憲政 基本權利保障，對國民大會之修憲權力予以合憲合 理之限制，有其必要性與重要性。 五、司法審查基於 「權力分立原"
7,287,"卓榮泰 李慶華 鄭朝明 王世勛 林瑞圖 黃昭順 曾振農 李鳴皋 徐少萍 陳學聖 陳振盛 徐慶元 陳朝容 劉文雄 陳景俊 葉憲修 張旭成 中華民國八十八年十月二十八日 ( 本聲請書附件略 7 陳其邁 營志宏 馮定國 廖學廣 蔡煌瑯 羅明才 李應元 朱惠良 黃義交 翁金珠 張清芳 周"
